Date,Open,High,Low,Close,Adj Close,Volume
Dec 03 2018,40.20,40.24,39.15,40.03,40.03,35643100.0
Nov 30 2018,37.75,38.63,36.94,38.56,38.56,28176000.0
Nov 29 2018,38.30,38.71,37.73,37.91,37.91,23631300.0
Nov 28 2018,37.29,39.00,35.99,38.71,38.71,42293700.0
Nov 27 2018,36.09,37.45,36.02,37.00,37.00,21397300.0
Nov 26 2018,37.75,37.79,35.53,36.57,36.57,26569700.0
Nov 23 2018,35.93,37.50,35.92,36.40,36.40,11257800.0
Nov 21 2018,37.00,37.22,36.37,36.38,36.38,22728400.0
Nov 20 2018,34.10,36.99,34.05,36.12,36.12,38728600.0
Nov 19 2018,39.20,39.32,36.67,36.83,36.83,31039100.0
Nov 16 2018,38.45,39.71,38.33,39.44,39.44,25445700.0
Nov 15 2018,37.95,40.17,37.62,39.91,39.91,30046100.0
Nov 14 2018,38.62,38.97,37.61,38.03,38.03,23706400.0
Nov 13 2018,37.66,38.74,37.44,37.85,37.85,25870500.0
Nov 12 2018,38.24,38.53,36.84,37.44,37.44,24822400.0
Nov 09 2018,39.89,39.99,38.41,39.11,39.11,26102800.0
Nov 08 2018,40.67,41.43,40.34,40.44,40.44,15609300.0
Nov 07 2018,40.32,41.05,39.96,40.93,40.93,22957200.0
Nov 06 2018,39.74,40.56,39.56,39.80,39.80,19316600.0
Nov 05 2018,40.10,40.24,38.77,39.92,39.92,22904000.0
Nov 02 2018,40.19,40.94,39.64,40.32,40.32,33645700.0
Nov 01 2018,37.98,40.20,37.52,40.12,40.12,43981400.0
Oct 31 2018,36.58,38.04,35.80,37.72,37.72,44055400.0
Oct 30 2018,34.64,36.05,34.49,36.01,36.01,35319500.0
Oct 29 2018,36.14,36.20,33.82,34.66,34.66,34176400.0
Oct 26 2018,35.28,35.91,34.30,35.40,35.40,41257400.0
Oct 25 2018,35.59,37.16,35.06,36.78,36.78,39625700.0
Oct 24 2018,38.00,38.30,35.40,35.43,35.43,53096500.0
Oct 23 2018,38.15,39.11,37.41,38.68,38.68,46364200.0
Oct 22 2018,40.56,40.70,38.64,39.76,39.76,34441200.0
Oct 19 2018,41.67,41.99,40.27,40.45,40.45,28641400.0
Oct 18 2018,42.04,42.21,41.14,41.30,41.30,33560800.0
Oct 17 2018,43.33,43.39,42.11,42.35,42.35,27759000.0
Oct 16 2018,42.70,43.35,42.30,43.21,43.21,28827400.0
Oct 15 2018,42.03,42.55,41.63,42.34,42.34,27697300.0
Oct 12 2018,43.58,43.75,41.92,42.47,42.47,32851100.0
Oct 11 2018,41.96,42.92,41.43,41.97,41.97,48197000.0
Oct 10 2018,41.50,42.75,41.32,41.61,41.61,48452000.0
Oct 09 2018,42.81,43.04,41.98,42.27,42.27,31576400.0
Oct 08 2018,43.28,43.85,42.61,43.07,43.07,27426600.0
Oct 05 2018,44.08,44.63,42.81,43.58,43.58,35367100.0
Oct 04 2018,44.50,44.75,43.51,44.16,44.16,34579600.0
Oct 03 2018,46.28,46.42,44.71,45.15,45.15,29505100.0
Oct 02 2018,44.90,46.69,44.88,45.76,45.76,32397000.0
Oct 01 2018,45.44,46.08,45.01,45.15,45.15,26693400.0
Sep 28 2018,44.65,45.61,44.49,45.23,45.23,28080400.0
Sep 27 2018,44.23,45.52,44.05,44.99,44.99,26952400.0
Sep 26 2018,44.29,44.76,43.96,44.35,44.35,30299800.0
Sep 25 2018,45.10,45.46,44.02,44.64,44.64,32547500.0
Sep 24 2018,44.20,45.65,43.86,45.16,45.16,36918900.0
Sep 21 2018,44.40,45.60,43.80,44.74,44.74,97053400.0
Sep 20 2018,46.40,47.22,45.91,46.06,46.06,75144100.0
Sep 19 2018,45.78,46.06,44.84,45.06,45.06,29264700.0
Sep 18 2018,43.93,45.87,43.88,45.33,45.33,36507400.0
Sep 17 2018,43.59,44.32,43.25,43.58,43.58,28205300.0
Sep 14 2018,44.11,44.56,43.46,44.30,44.30,40610300.0
Sep 13 2018,42.30,44.49,42.30,43.62,43.62,59922100.0
Sep 12 2018,41.24,42.18,40.68,41.74,41.74,66916000.0
Sep 11 2018,43.65,43.75,42.35,43.60,43.60,48980700.0
Sep 10 2018,45.25,45.38,44.39,44.90,44.90,33078300.0
Sep 07 2018,45.14,46.46,44.65,44.86,44.86,47114300.0
Sep 06 2018,48.20,48.45,44.06,44.65,44.65,94413400.0
Sep 05 2018,51.39,51.60,49.07,49.54,49.54,39125100.0
Sep 04 2018,52.14,52.30,50.71,51.93,51.93,28975100.0
Aug 31 2018,52.70,53.23,52.22,52.52,52.52,29937300.0
Aug 30 2018,51.56,53.68,51.40,52.76,52.76,32416600.0
Aug 29 2018,52.09,52.16,51.30,51.83,51.83,31450800.0
Aug 28 2018,52.42,52.56,51.47,52.34,52.34,26198800.0
Aug 27 2018,51.35,52.45,51.17,52.07,52.07,29134100.0
Aug 24 2018,49.92,50.82,49.92,50.70,50.70,24785500.0
Aug 23 2018,50.05,50.24,49.40,49.70,49.70,26832000.0
Aug 22 2018,50.38,50.65,49.87,50.24,50.24,26740400.0
Aug 21 2018,48.90,50.37,48.87,49.94,49.94,38572900.0
Aug 20 2018,47.40,48.61,46.47,48.07,48.07,33022900.0
Aug 17 2018,46.21,47.36,45.62,47.11,47.11,34464200.0
Aug 16 2018,48.20,48.31,46.96,47.10,47.10,33663000.0
Aug 15 2018,49.83,49.86,47.14,47.49,47.49,57746200.0
Aug 14 2018,51.73,51.77,50.01,50.62,50.62,32050200.0
Aug 13 2018,51.61,52.06,51.28,51.34,51.34,24252800.0
Aug 10 2018,51.25,51.95,51.02,51.37,51.37,31340800.0
Aug 09 2018,52.65,52.85,51.93,52.26,52.26,34459100.0
Aug 08 2018,52.84,53.53,52.46,53.39,53.39,18074700.0
Aug 07 2018,52.94,53.44,52.70,53.04,53.04,21918600.0
Aug 06 2018,52.22,52.81,51.50,52.67,52.67,28776900.0
Aug 03 2018,53.30,53.40,52.26,52.81,52.81,22958900.0
Aug 02 2018,51.70,53.55,51.38,53.40,53.40,28708000.0
Aug 01 2018,52.66,53.58,52.17,52.29,52.29,28200000.0
Jul 31 2018,53.78,54.22,52.77,52.79,52.79,29301700.0
Jul 30 2018,54.19,54.25,52.42,53.01,53.01,25747800.0
