Date,Open,High,Low,Close,Adj Close,Volume
Dec 03 2018,9.80,9.87,9.64,9.86,9.86,238200.0
Nov 30 2018,9.59,9.71,9.47,9.70,9.70,389200.0
Nov 29 2018,9.79,9.87,9.63,9.64,9.64,211600.0
Nov 28 2018,9.73,9.88,9.51,9.87,9.87,292600.0
Nov 27 2018,9.69,9.83,9.56,9.67,9.67,217400.0
Nov 26 2018,9.81,9.85,9.62,9.70,9.70,266100.0
Nov 23 2018,9.60,9.76,9.60,9.70,9.70,105100.0
Nov 21 2018,9.65,9.79,9.64,9.65,9.65,133600.0
Nov 20 2018,9.50,9.86,9.50,9.62,9.62,211400.0
Nov 19 2018,9.96,9.96,9.50,9.61,9.61,238500.0
Nov 16 2018,9.72,10.08,9.68,10.05,10.05,571500.0
Nov 15 2018,9.51,9.86,9.51,9.85,9.85,216600.0
Nov 14 2018,9.55,9.61,9.50,9.51,9.51,393900.0
Nov 13 2018,9.44,9.61,9.44,9.45,9.45,424300.0
Nov 12 2018,9.60,9.66,9.34,9.36,9.36,497800.0
Nov 09 2018,9.89,9.89,9.50,9.66,9.66,325800.0
Nov 08 2018,10.00,10.02,9.86,9.90,9.90,240300.0
Nov 07 2018,10.05,10.07,9.88,9.98,9.98,230600.0
Nov 06 2018,10.16,10.20,9.89,10.00,10.00,200900.0
Nov 05 2018,10.21,10.21,9.95,10.14,10.14,320100.0
Nov 02 2018,10.13,10.19,9.99,10.18,10.18,311900.0
Nov 01 2018,9.80,10.09,9.80,10.07,10.07,383900.0
Oct 31 2018,9.82,9.84,9.66,9.74,9.74,350000.0
Oct 30 2018,9.50,9.79,9.37,9.71,9.71,232700.0
Oct 29 2018,9.53,9.64,9.49,9.50,9.50,346900.0
Oct 26 2018,9.40,9.68,9.27,9.46,9.46,367700.0
Oct 25 2018,9.27,9.59,9.27,9.55,9.55,352200.0
Oct 24 2018,9.48,9.58,9.20,9.21,9.21,519500.0
Oct 23 2018,9.41,9.63,9.32,9.53,9.53,386200.0
