Date,Open,High,Low,Close,Adj Close,Volume
Dec 03 2018,38.82,39.00,38.38,38.73,38.73,7455800.0
Nov 30 2018,37.24,37.60,37.08,37.59,37.59,8734400.0
Nov 29 2018,37.95,38.37,37.87,37.93,37.93,7056600.0
Nov 28 2018,37.27,38.02,37.07,38.01,38.01,8380200.0
Nov 27 2018,36.39,36.82,36.39,36.80,36.80,6870200.0
Nov 26 2018,36.71,36.89,36.47,36.84,36.84,7077300.0
Nov 23 2018,35.83,36.20,35.75,35.96,35.96,2320500.0
Nov 21 2018,36.42,36.72,36.14,36.17,36.17,7013100.0
Nov 20 2018,35.40,35.99,35.22,35.64,35.64,11673500.0
Nov 19 2018,36.64,36.68,35.96,36.05,36.05,15191700.0
Nov 16 2018,37.07,37.20,36.66,36.87,36.87,16382400.0
Nov 15 2018,38.07,38.57,37.89,38.52,38.52,10840400.0
Nov 14 2018,38.20,38.34,37.37,37.84,37.84,10404900.0
Nov 13 2018,37.39,38.12,37.24,37.40,37.40,15057100.0
Nov 12 2018,37.86,37.92,37.01,37.06,37.06,11666700.0
Nov 09 2018,38.09,38.39,37.81,38.07,38.07,5975400.0
Nov 08 2018,38.79,39.06,38.69,38.70,38.70,7953700.0
Nov 07 2018,39.29,39.30,38.72,39.18,39.18,6568700.0
Nov 06 2018,38.50,38.85,38.42,38.73,38.73,8578100.0
Nov 05 2018,38.72,38.82,38.31,38.48,38.48,8591900.0
Nov 02 2018,39.18,39.49,38.43,38.78,38.78,9736200.0
Nov 01 2018,38.78,39.08,38.39,39.05,39.05,14348600.0
Oct 31 2018,38.69,38.99,38.03,38.10,38.10,12610900.0
Oct 30 2018,36.84,37.80,36.67,37.78,37.78,12106400.0
Oct 29 2018,37.17,37.41,35.97,36.33,36.33,8269300.0
Oct 26 2018,36.55,37.29,36.14,36.67,36.67,11973200.0
Oct 25 2018,36.78,37.55,36.49,37.39,37.39,9927300.0
Oct 24 2018,37.56,37.56,36.43,36.48,36.48,13312400.0
Oct 23 2018,37.42,38.18,37.26,38.00,38.00,12350000.0
Oct 22 2018,39.19,39.23,38.54,38.72,38.72,8165700.0
Oct 19 2018,39.16,39.32,38.34,38.45,38.45,11266200.0
Oct 18 2018,39.80,39.95,38.46,38.54,38.54,9555600.0
Oct 17 2018,40.00,40.09,39.18,39.57,39.57,8173600.0
Oct 16 2018,39.84,40.06,39.40,40.01,40.01,10748100.0
Oct 15 2018,39.47,39.59,38.72,38.75,38.75,8209000.0
Oct 12 2018,40.14,40.58,39.19,39.66,39.66,7578600.0
Oct 11 2018,38.50,39.60,38.33,38.94,38.94,10209000.0
Oct 10 2018,40.35,40.44,39.35,39.35,39.35,12853500.0
Oct 09 2018,41.00,41.30,40.58,40.90,40.90,5678700.0
Oct 08 2018,40.76,41.17,40.40,40.96,40.96,7761800.0
Oct 05 2018,41.88,42.07,41.17,41.63,41.63,7921400.0
Oct 04 2018,43.07,43.08,41.97,42.43,42.43,7885000.0
Oct 03 2018,44.04,44.24,43.57,43.96,43.96,5631100.0
Oct 02 2018,43.75,43.99,43.45,43.62,43.62,5440300.0
Oct 01 2018,44.55,44.96,44.42,44.66,44.66,5029800.0
Sep 28 2018,44.50,44.62,43.97,44.16,44.16,7727700.0
Sep 27 2018,44.60,45.23,44.58,44.76,44.76,6711700.0
Sep 26 2018,44.25,44.73,44.25,44.27,44.27,4564300.0
Sep 25 2018,44.80,44.91,44.13,44.17,44.17,6678200.0
Sep 24 2018,43.84,44.94,43.79,44.89,44.89,8229100.0
Sep 21 2018,44.25,44.41,44.02,44.06,44.06,6668600.0
Sep 20 2018,44.25,44.43,43.90,44.17,44.17,4728000.0
Sep 19 2018,44.20,44.39,43.74,44.02,44.02,6393200.0
Sep 18 2018,43.50,44.09,43.35,43.56,43.56,8814200.0
Sep 17 2018,43.63,44.14,43.47,43.76,43.76,6210300.0
Sep 14 2018,44.02,44.56,43.95,44.41,44.41,5295400.0
Sep 13 2018,43.99,43.99,43.27,43.43,43.43,9624500.0
Sep 12 2018,43.92,44.30,43.82,43.94,43.94,10303700.0
Sep 11 2018,43.64,44.57,43.58,44.55,44.55,12509700.0
Sep 10 2018,45.00,45.06,44.52,44.62,44.62,6824900.0
Sep 07 2018,44.00,45.24,43.98,44.88,44.88,14256000.0
Sep 06 2018,43.94,44.07,43.58,44.05,44.05,10424900.0
Sep 05 2018,44.09,44.57,44.02,44.22,44.22,7262400.0
Sep 04 2018,43.26,44.12,43.19,44.11,44.11,8174900.0
Aug 31 2018,43.12,43.61,42.96,43.60,43.60,8782900.0
Aug 30 2018,44.35,44.49,43.41,43.46,43.46,7826200.0
Aug 29 2018,43.19,44.38,43.09,44.13,44.13,12278200.0
Aug 28 2018,42.39,42.76,42.25,42.35,42.35,10683500.0
Aug 27 2018,41.43,41.71,41.37,41.53,41.53,5733000.0
Aug 24 2018,40.93,41.41,40.83,41.24,41.24,4232000.0
Aug 23 2018,41.30,41.35,40.68,40.68,40.68,4126100.0
Aug 22 2018,40.85,41.05,40.54,40.90,40.90,5512700.0
Aug 21 2018,40.37,41.04,40.36,40.89,40.89,6075100.0
Aug 20 2018,40.02,40.24,39.90,40.10,40.10,4156700.0
Aug 17 2018,40.19,40.22,39.79,40.13,40.13,7897200.0
Aug 16 2018,40.45,40.73,40.37,40.41,40.41,5544000.0
Aug 15 2018,40.45,40.55,40.12,40.45,40.45,6052800.0
Aug 14 2018,41.00,41.19,40.87,40.91,40.91,5339100.0
Aug 13 2018,40.69,40.99,40.47,40.71,40.71,6708600.0
Aug 10 2018,41.30,41.30,40.79,41.03,41.03,7053200.0
Aug 09 2018,41.94,41.95,41.68,41.84,41.84,4513300.0
Aug 08 2018,41.56,42.11,41.45,41.97,41.97,5089600.0
Aug 07 2018,41.07,41.25,40.84,41.24,41.24,7494900.0
Aug 06 2018,41.20,41.42,41.00,41.07,41.07,7245800.0
Aug 03 2018,41.64,41.95,41.56,41.69,41.69,4575200.0
Aug 02 2018,41.10,41.65,41.00,41.55,41.55,4669300.0
Aug 01 2018,41.44,41.73,41.32,41.71,41.71,6115000.0
Jul 31 2018,41.26,41.58,41.09,41.21,41.21,4908300.0
Jul 30 2018,41.45,41.52,40.89,41.09,41.09,5174300.0
Jul 27 2018,40.94,41.92,40.94,41.45,41.45,9468500.0
Jul 26 2018,40.70,40.94,40.44,40.82,40.82,8476600.0
Jul 25 2018,40.53,40.90,40.31,40.89,40.89,7725700.0
Jul 24 2018,41.10,41.21,40.38,40.39,40.39,7018300.0
Jul 23 2018,40.82,40.98,40.63,40.74,40.74,6832800.0
Jul 20 2018,39.99,40.85,39.84,40.73,40.73,14481000.0
